Year,value,maxR,minR
1991,21.8,2.3,0.5
1992,20.5,2.2,0.5
1993,21.3,2.2,0.4
1994,21.7,2.4,0.7
1995,20.7,2.5,0.6
1996,20.7,2.7,0.4
1997,22.0,2.1,0.6
1998,21.7,2.1,0.7
1999,22.0,1.8,0.6
2000,21.9,2.3,0.4
2001,22.0,2.4,0.8
2002,22.5,2.4,0.7
2003,21.9,2.3,0.5
2004,22.0,2.4,0.6
2005,22.4,2.2,0.4
2006,22.6,2.3,0.8
2007,23.0,2.2,1.0
2008,22.1,2.1,0.8
2009,23.0,2.2,0.7
2010,21.7,1.9,0.6
2011,21.8,2.3,0.7
2012,22.1,2.7,0.7
2013,23.0,2.8,0.7
2014,23.3,2.5,0.6
2015,22.7,2.5,0.7
2016,22.5,2.3,0.6
2017,23.0,2.5,0.5
2018,23.4,2.3,0.7
