Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,082056,1898,null,null,null,null,null,null,null,null,null,null,55.7,52.3,null
IDCJAC0001,082056,1899,29.8,31.7,61.5,52.1,38.4,95.2,22.6,53.9,20.4,40.6,46.5,4.1,496.8
IDCJAC0001,082056,1900,57.2,0.0,135.8,90.1,82.8,105.5,75.9,87.7,37.1,7.2,38.6,24.9,742.8
IDCJAC0001,082056,1901,8.9,3.8,106.3,66.8,37.1,75.2,50.0,86.7,57.5,87.6,7.0,3.5,590.4
IDCJAC0001,082056,1902,46.3,16.5,48.2,0.0,0.8,106.2,18.3,14.5,23.4,34.1,5.6,146.1,460.0
IDCJAC0001,082056,1903,17.1,17.1,108.5,90.5,15.5,95.4,82.3,24.1,96.8,61.5,35.0,51.0,694.8
IDCJAC0001,082056,1904,84.5,62.5,24.6,30.3,72.5,60.5,131.0,89.9,16.5,127.1,42.4,23.1,764.9
IDCJAC0001,082056,1905,40.9,13.4,10.4,48.3,77.4,119.4,191.1,40.3,47.3,109.0,10.9,24.7,733.1
IDCJAC0001,082056,1906,0.0,9.9,132.4,14.2,102.8,99.7,93.7,63.0,87.2,103.2,134.2,81.0,921.3
IDCJAC0001,082056,1907,72.4,19.8,40.6,32.6,42.7,52.3,76.9,65.9,29.7,39.3,54.3,76.5,603.0
IDCJAC0001,082056,1908,11.6,73.7,17.1,40.7,41.2,130.1,49.4,63.0,93.8,53.2,65.5,11.1,650.4
IDCJAC0001,082056,1909,9.4,25.7,85.1,82.8,77.5,167.7,62.9,92.5,41.5,53.1,4.4,14.5,717.1
IDCJAC0001,082056,1910,22.1,1.0,75.9,1.3,54.1,67.6,98.4,49.8,85.1,44.1,74.2,43.2,616.8
IDCJAC0001,082056,1911,59.9,149.6,57.1,4.8,97.8,88.4,53.2,22.3,40.9,16.3,42.2,83.4,715.9
IDCJAC0001,082056,1912,20.1,10.4,19.9,2.3,0.5,74.8,131.6,64.3,75.3,39.4,118.7,97.5,654.8
IDCJAC0001,082056,1913,38.8,24.7,150.3,4.3,84.2,42.9,25.8,54.1,77.4,78.0,11.9,13.4,605.8
IDCJAC0001,082056,1914,45.7,0.0,63.9,59.8,63.9,31.5,41.6,10.4,29.4,0.0,34.1,89.7,470.0
IDCJAC0001,082056,1915,14.3,3.6,6.6,22.2,141.5,124.9,74.6,103.1,71.4,106.5,5.6,32.7,707.0
